time,gFx,gFy,gFz,TgF
1.258721191,0.0241,-0.0134,1.0147,1.015
1.259456076,0.0327,-0.0023,1.0205,1.021
1.260172614,0.0456,0.0073,1.0330,1.034
1.260851576,0.0402,0.0060,1.0348,1.036
1.27159473,0.0533,-0.0020,1.0421,1.043
1.277839383,0.0450,-0.0037,1.0288,1.030
1.287907845,0.0283,-0.0177,1.0137,1.014
1.298235191,0.0276,-0.0236,1.0256,1.026
1.313021076,0.0318,-0.0095,1.0335,1.034
1.319390883,0.0387,-0.0078,1.0350,1.036
1.328271191,0.0341,-0.0061,1.0355,1.036
1.355822076,0.0384,0.0060,1.0261,1.027
1.356995499,0.0420,0.0059,1.0221,1.023
1.357896383,0.0338,-0.0038,1.0148,1.015
1.370548114,0.0413,-0.0054,1.0141,1.015
1.377938806,0.0386,-0.0093,1.0245,1.025
1.388287499,0.0351,-0.0213,1.0299,1.031
1.39812646,0.0337,-0.0173,1.0267,1.027
1.408590614,0.0351,-0.0088,1.0329,1.034
1.447547422,0.0347,-0.0095,1.0328,1.033
1.449564345,0.0335,0.0029,1.0304,1.031
1.45144496,0.0324,0.0068,1.0190,1.020
1.452529114,0.0382,-0.0012,1.0180,1.019
1.461954191,0.0299,-0.0082,1.0166,1.017
1.476141076,0.0387,-0.0055,1.0335,1.034
1.478079499,0.0290,-0.0195,1.0255,1.026
1.490344152,0.0290,-0.0188,1.0317,1.032
1.497997345,0.0314,-0.0188,1.0317,1.032
1.507830576,0.0283,-0.0129,1.0162,1.017
1.529228383,0.0255,-0.0120,1.0185,1.019
1.530955806,0.0331,-0.0029,1.0189,1.019
1.572068422,0.0413,0.0086,1.0349,1.036
1.573264999,0.0415,0.0070,1.0351,1.036
1.574043345,0.0442,-0.0049,1.0229,1.024
1.57470696,0.0227,-0.0123,0.9942,0.995
1.577850845,0.0266,-0.0198,1.0081,1.009
1.589895729,0.0265,-0.0272,1.0116,1.012
1.597757614,0.0349,-0.0115,1.0260,1.027
1.607883075,0.0700,0.0033,1.0800,1.082
1.630973422,0.0379,-0.0056,1.0341,1.035
1.632965268,0.0583,0.0148,1.0565,1.058
1.67728196,0.0570,0.0134,1.0427,1.044
1.678833345,0.0588,0.0062,1.0534,1.055
1.679675845,0.0536,0.0022,1.0405,1.042
1.680642614,0.0432,-0.0068,1.0354,1.036
1.681410998,0.0285,-0.0237,1.0285,1.029
1.692490998,0.0376,-0.0164,1.0206,1.021
1.698202806,0.0451,-0.0042,1.0517,1.053
1.70803846,0.0360,-0.0093,1.0260,1.027
1.71765546,0.0415,0.0054,1.0377,1.039
1.727589537,0.0359,0.0088,1.0219,1.023
1.741270229,0.0472,0.0035,1.0219,1.023
1.747531345,0.0390,-0.0034,1.0192,1.020
1.757507498,0.0425,-0.0011,1.0363,1.037
1.767743268,0.0360,-0.0191,1.0335,1.034
